LAT,LON,TYPE,NAME,COUNTRY,CITY,IATA
25.32859993,55.51720047,LAR,Sharjah International Airport,AE,Sharjah,SHJ
25.25279999,55.36439896,LAR,Dubai International Airport,AE,Dubai,DXB
24.43300056,54.65110016,LAR,Abu Dhabi International Airport,AE,Abu Dhabi,AUH
34.565899,69.212303,MED,Hamid Karzai International Airport,AF,Kabul,KBL
17.1367,-61.792702,MED,V.C. Bird International Airport,AG,St. John's,ANU
18.2048,-63.055099,MED,Clayton J Lloyd International Airport,AI,The Valley,AXA
41.41469955,19.72060013,LAR,Tirana International Airport Mother Teresa,AL,Tirana,TIA
40.14730072,44.39590073,LAR,Zvartnots International Airport,AM,Yerevan,EVN
-8.85837,13.2312,LAR,Quatro de Fevereiro Airport,AO,Luanda,LAD
-38.975498,-70.113602,MED,Zapala Airport,AR,Zapala,APZ
-36.5423,-56.7218,MED,Santa Teresita Airport,AR,Santa Teresita,SST
-36.588299,-64.275703,MED,Santa Rosa Airport,AR,Santa Rosa,RSA
-34.588299,-68.4039,MED,Suboficial Ay Santiago Germano Airport,AR,San Rafael,AFA
-41.151199,-71.157501,MED,San Carlos De Bariloche Airport,AR,San Carlos de Bariloche,BRC
-27.45,-59.0561,MED,Resistencia International Airport,AR,Resistencia,RES
-29.6894,-57.1521,MED,Paso De Los Libres Airport,AR,Paso de los Libres,AOL
-24.392799,-65.097801,MED,Gobernador Horacio Guzman International Airport,AR,San Salvador de Jujuy,JUJ
-31.571501,-68.418198,MED,Domingo Faustino Sarmiento Airport,AR,San Juan,UAQ
-27.4455,-58.7619,MED,Corrientes Airport,AR,Corrientes,CNQ
-31.2969,-57.9966,MED,Comodoro Pierrestegui Airport,AR,Concordia,COC
-33.72990036,-65.38739777,MED,Villa Reynolds Airport,AR,Villa Mercedes,VME
-32.9036,-60.785,MED,Islas Malvinas Airport,AR,Rosario,ROS
-53.7777,-67.7494,MED,Hermes Quijada International Airport,AR,Rio Grande,RGA
-32.83169937,-68.79290009,MED,El Plumerillo Airport,AR,Mendoza,MDZ
-34.5592,-58.4156,MED,Jorge Newbery Airpark,AR,Buenos Aires,AEP
-34.8222,-58.5358,LAR,Ministro Pistarini International Airport,AR,Buenos Aires,EZE
-14.33100033,-170.7100067,MED,Pago Pago International Airport,AS,Pago Pago,PPG
48.11029816,16.56970024,LAR,Vienna International Airport,AT,Vienna,VIE
-33.600601,150.781006,MED,RAAF Base Richmond,AU,Richmond,XRH
-31.43580055,152.8630066,MED,Port Macquarie Airport,AU,Port Macquarie,PQQ
-34.6053009,135.8800049,MED,Port Lincoln Airport,AU,Port Lincoln,PLO
-37.97579956,145.102005,MED,Melbourne Moorabbin Airport,AU,Melbourne,MBW
-21.17169952,149.1799927,MED,Mackay Airport,AU,Mackay,MKY
-32.09749985,115.8809967,MED,Perth Jandakot Airport,AU,Perth,JAD
-42.83610153,147.5099945,MED,Hobart International Airport,AU,Hobart,HBA
-20.35810089,148.9519959,MED,Hamilton Island Airport,AU,Hamilton Island,HTI
